"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.462712503E-2,3.436152823E-3,-7.880475260E-3,-3.054351568E-2,3.173035434E-2
2.458112501E-2,1.505811520E-2,-1.493689511E-3,-1.916541874E-2,2.441907487E-2
3.453612502E-2,4.368235543E-3,6.220249739E-3,-4.191635013E-2,4.259992249E-2
4.449012500E-2,1.134425618E-2,6.495945957E-3,-1.123016238E-2,1.723386228E-2
5.444512502E-2,1.298162274E-2,1.275162617E-2,-2.784911871E-2,3.326709954E-2
6.439912503E-2,3.668945096E-3,2.222005902E-2,-2.530031741E-2,3.387179124E-2
7.435312500E-2,-1.943029761E-3,-1.009450519E-2,-1.692184210E-2,1.979957423E-2
8.430812502E-2,-1.239737626E-2,-1.853002740E-2,-4.177192390E-2,4.734923949E-2
9.426212500E-2,6.360820457E-3,-5.403156169E-3,-2.815083504E-2,2.936194215E-2
1.042171250E-1,-1.980093800E-2,-1.806075180E-2,-5.015566170E-2,5.686702297E-2
1.141711250E-1,2.391489275E-2,-3.453511745E-4,1.630496085E-2,2.894638338E-2
1.241261250E-1,1.772038903E-2,7.093933392E-3,-5.494803965E-2,5.816891902E-2
1.340801250E-1,1.327391043E-2,1.392353609E-2,-9.895243049E-3,2.163278508E-2
1.440341250E-1,7.962519005E-3,3.825705294E-3,-3.909448385E-3,9.660306236E-3
1.539891250E-1,-1.184536256E-2,-9.432509020E-3,-3.070782244E-2,3.423821257E-2
1.639431250E-1,-6.043316647E-3,1.279482247E-2,-5.511117697E-2,5.689877841E-2
1.738981250E-1,1.230531916E-2,1.789854638E-2,-3.281106591E-2,3.934901382E-2
1.838521250E-1,2.925153684E-2,1.467135843E-2,-1.694406152E-2,3.685108392E-2
1.938071250E-1,-2.942355461E-3,4.995532148E-3,-4.464173734E-2,4.501663592E-2
2.037611250E-1,3.114738688E-4,4.974098448E-3,-1.425609648E-2,1.510215078E-2
2.137151250E-1,1.030630231E-2,-9.073234163E-4,-2.069271147E-2,2.313506886E-2
2.236701250E-1,-1.040186774E-2,-3.129082639E-3,-3.356944978E-2,3.528311167E-2
2.336241250E-1,-1.912412278E-2,-1.765274405E-2,-4.270221591E-2,5.000830620E-2
2.435791250E-1,1.384704720E-2,-2.228335513E-2,-2.727784574E-2,3.784665772E-2
2.535331250E-1,4.424661174E-3,2.905956544E-3,-2.772340357E-2,2.822426820E-2
