"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
-1.481666695E-4;1.025570836E-1;8.489590678E-3;1.971096396E-2;1.047785792E-1
9.846833418E-3;1.165121307E-1;3.131591460E-2;1.117753744E-2;1.211639404E-1
1.984283340E-2;1.083920201E-1;2.751406412E-2;2.120551229E-2;1.138223506E-1
2.983783337E-2;9.076939836E-2;3.251178897E-2;1.521913290E-2;9.761005126E-2
3.983383335E-2;8.950088147E-2;2.257333134E-2;1.911045492E-2;9.426119328E-2
4.982883332E-2;1.105338461E-1;7.565739742E-3;7.735866308E-3;1.110622131E-1
5.982383341E-2;1.051063143E-1;1.027072566E-2;1.102901816E-2;1.061812806E-1
6.981983338E-2;1.056946995E-1;1.133627107E-2;1.177980065E-2;1.069515977E-1
7.981483336E-2;8.618456916E-2;2.472905357E-2;4.893534780E-3;8.979561645E-2
8.981083333E-2;1.046367098E-1;4.462339170E-3;1.464084327E-2;1.057502142E-1
9.980583342E-2;9.491282674E-2;1.502067475E-2;1.271067739E-2;9.693104079E-2
1.098018334E-1;1.006079417E-1;2.221908144E-2;2.365257204E-2;1.057122967E-1
1.197968334E-1;1.023725491E-1;9.772195704E-3;2.171655893E-2;1.051058683E-1
1.297918333E-1;8.492981150E-2;6.815962242E-3;1.768665791E-2;8.701923977E-2
1.397878333E-1;8.665049175E-2;2.014190376E-2;1.385205388E-3;8.897147184E-2
1.497828334E-1;9.848512832E-2;2.370314131E-2;1.999747753E-3;1.013171180E-1
1.597788334E-1;9.502622617E-2;3.101287351E-2;1.638331354E-2;1.012926204E-1
1.697738334E-1;9.721535062E-2;2.524540840E-2;1.190610051E-2;1.011430189E-1
1.797688333E-1;8.256228302E-2;1.083151018E-2;1.356437087E-2;8.436731800E-2
1.897648334E-1;9.612494540E-2;2.322961735E-2;9.832677841E-3;9.937958445E-2
1.997598334E-1;1.009491541E-1;1.709580590E-2;1.134067476E-2;1.030126653E-1
2.097558334E-1;1.083911248E-1;2.657277203E-2;3.414189219E-3;1.116530556E-1
2.197508333E-1;9.641670319E-2;1.897375798E-2;1.016129136E-2;9.878985772E-2
2.297468333E-1;1.043929357E-1;1.663023963E-2;2.125229001E-2;1.078244394E-1
2.397418334E-1;9.683354571E-2;6.718715737E-3;6.897375584E-3;9.731110166E-2
2.497368334E-1;8.617027089E-2;1.375526419E-2;1.544834375E-2;8.861813699E-2
2.597328334E-1;9.310506865E-2;2.381684225E-2;1.171840489E-2;9.681485835E-2
2.697278333E-1;7.469730288E-2;2.134380807E-2;9.184806347E-3;7.822790978E-2
2.797238334E-1;9.504912168E-2;1.844705176E-2;8.149849176E-3;9.716506209E-2
2.897188334E-1;9.448853815E-2;1.331655856E-2;-2.014950514E-3;9.544356762E-2
2.997138334E-1;8.726828663E-2;2.587482462E-2;1.086880445E-2;9.167001315E-2
3.097098334E-1;7.987758877E-2;1.545096586E-2;9.830338955E-3;8.194996704E-2
3.197048333E-1;8.232689604E-2;1.935049226E-2;1.672537565E-2;8.620845407E-2
3.297008334E-1;6.872693025E-2;1.430751543E-2;1.987760961E-2;7.296036803E-2
3.396958334E-1;8.232969174E-2;3.298932376E-2;4.173157811E-3;8.879126573E-2
3.496918334E-1;9.102824729E-2;8.059317833E-3;1.181546867E-2;9.214499286E-2
3.596868333E-1;1.114144550E-1;3.088791668E-4;1.332346559E-2;1.122086936E-1
3.696818334E-1;9.631131627E-2;2.197904410E-2;1.497998178E-2;9.991670468E-2
3.796778334E-1;6.873610307E-2;3.445376806E-2;1.319541156E-2;7.801174837E-2
3.896728334E-1;7.622686140E-2;4.150782161E-2;-1.553546727E-2;8.817473787E-2
3.996688334E-1;8.677945940E-2;2.356630733E-2;1.994660676E-2;9.210815673E-2
4.096638333E-1;9.430985089E-2;3.237643506E-2;6.629573107E-3;9.993264113E-2
4.196588334E-1;8.525276966E-2;2.448666821E-2;6.941229701E-3;8.897085099E-2
4.296548334E-1;8.563800981E-2;-1.646144696E-2;2.776024103E-2;9.151764279E-2
4.396498334E-1;7.464012807E-2;2.636443757E-2;-8.750358224E-3;7.964170425E-2
4.496458333E-1;3.883271132E-2;3.736028192E-2;8.396601677E-4;5.389318289E-2
4.596408333E-1;5.743414784E-2;1.157011402E-2;5.324006796E-2;7.916472518E-2
4.696358334E-1;1.108678500E-1;1.187804301E-2;1.926482141E-2;1.131543256E-1
4.796318334E-1;8.557164392E-2;1.802301899E-2;1.283288419E-2;8.838562311E-2
4.896268334E-1;5.152082210E-2;-7.143004322E-3;4.038379490E-2;6.585034937E-2
4.996228333E-1;1.057883555E-1;1.044504577E-2;3.565047383E-3;1.063625155E-1
5.096178334E-1;1.138250610E-1;-9.200319741E-4;-1.619503319E-2;1.149750846E-1
5.196138334E-1;1.304429941E-1;-1.069463052E-2;2.227555275E-2;1.327627586E-1
5.296088334E-1;1.348639460E-1;9.452526597E-3;1.239551246E-2;1.357618610E-1
5.396038333E-1;6.776674435E-2;4.077300020E-3;-1.858771384E-2;7.038791885E-2
5.495998333E-1;5.415994462E-2;-1.694230735E-3;3.036342144E-2;6.211366500E-2
5.595948334E-1;5.271060258E-2;2.410549371E-2;-8.403033614E-3;5.856699946E-2
5.695908334E-1;5.992751023E-2;1.230048607E-2;-2.187560320E-2;6.497038137E-2
5.795858334E-1;1.565006538E-1;1.072663489E-2;-1.783342302E-2;1.578782643E-1
5.895808333E-1;1.250802203E-1;-8.928954117E-3;-1.019871354E-2;1.258125649E-1
5.995768334E-1;6.563355217E-2;-6.907169670E-3;6.416149735E-3;6.630715754E-2
6.095718334E-1;-1.182074944E-2;3.008640960E-2;-1.483906388E-2;3.556852508E-2
6.195678334E-1;9.899051048E-2;3.900549654E-2;1.794276595E-2;1.079003836E-1
6.295628333E-1;7.538625106E-2;1.866303328E-2;5.746175766E-2;9.660874315E-2
6.395578333E-1;3.037166236E-2;3.685860909E-2;3.665561020E-2;6.020488932E-2
6.495538334E-1;1.003174995E-1;3.032810060E-2;3.800105453E-2;1.114785833E-1
6.595488334E-1;8.600760866E-2;5.259506525E-3;5.222382188E-2;1.007586161E-1
6.695448334E-1;6.506195029E-2;-4.655416058E-3;1.704814196E-2;6.741935493E-2
6.795398333E-1;6.054735163E-2;3.764942673E-2;1.450167954E-2;7.275822862E-2
6.895358334E-1;4.700414037E-2;3.946203617E-2;2.872093856E-2;6.776085760E-2
6.995308334E-1;4.363261756E-2;4.227189738E-2;-1.019871354E-2;6.160139918E-2
7.095258334E-1;1.640730539E-2;7.070453167E-3;3.755023420E-2;4.158378370E-2
7.195218334E-1;4.704629514E-2;9.024601774E-3;4.768989086E-3;4.814084109E-2
7.295168333E-1;9.434387438E-2;4.440534538E-2;4.618130922E-3;1.043739837E-1
7.395128334E-1;6.334403833E-2;-9.509692267E-3;2.647092998E-2;6.930809169E-2
7.495078334E-1;7.571703902E-2;1.338111548E-2;8.808830380E-3;7.739327969E-2
7.595028334E-1;1.107746600E-1;3.556551562E-2;2.542310894E-2;1.190893180E-1
7.694988333E-1;9.133840553E-2;1.152747503E-2;1.324979067E-3;9.207248544E-2
7.794938334E-1;6.143967329E-2;2.860011133E-2;1.061211169E-2;6.859604024E-2
7.894898334E-1;7.458452471E-2;1.067431144E-2;3.427053094E-3;7.542239020E-2
7.994848334E-1;8.427665010E-2;2.925813323E-2;8.366780877E-3;8.960242817E-2
8.094798333E-1;8.136987129E-2;2.753911578E-2;1.016304553E-2;8.650286901E-2
8.194758333E-1;1.160267570E-1;1.458481964E-2;1.184645891E-3;1.169458366E-1
8.294708334E-1;1.046519309E-1;2.291438847E-2;1.345795155E-2;1.079732017E-1
8.394668334E-1;8.074566275E-2;2.522857938E-2;-2.707845569E-3;8.463850009E-2
8.494618334E-1;6.143004365E-2;-6.927132430E-3;1.932504773E-3;6.184957560E-2
8.594578333E-1;7.579511762E-2;-8.084396906E-3;1.121554434E-2;7.704573812E-2
8.694528334E-1;1.171545935E-1;-1.272604460E-2;-1.797667980E-2;1.192070133E-1
8.794478334E-1;1.138184281E-1;3.693503402E-3;1.750539422E-2;1.152159510E-1
8.894438334E-1;1.458562363E-1;1.409480469E-3;1.840645015E-2;1.470198140E-1
8.994388334E-1;7.920481179E-2;1.045596362E-2;1.601610839E-2;8.148156303E-2
9.094348333E-1;7.601895634E-2;2.315614343E-2;4.640935063E-3;7.960293324E-2
